
="",="(1)"
="",="Violent_Change"

="Tree_Cover_Change",="-2.845*"
="",="(-2.18)"

="Personswith9th12thgradeeduc",="-0.000117"
="",="(-1.38)"

="_cons",="0.111"
="",="(0.78)"

="N",="34"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
